date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:17:13	47593/47593	---M-Z	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2008:17:12%20GMT	https://www.topallenatori.it/	C:/ST_AREA/Site/site_/www.topallenatori.it/index.html	(from )
09:17:13	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2028%20Mar%202025%2008:17:12%20GMT	https://www.topallenatori.it/robots.txt		(from )
09:17:13	3393/3393	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Aug%202015%2009:50:48%20GMT	https://www.topallenatori.it/wp-content/uploads/2015/08/fav.png	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/uploads/2015/08/fav.png	(from https://www.topallenatori.it/)
09:17:14	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Fri,%2028%20Mar%202025%2008:17:13%20GMT	https://www.topallenatori.it/wp-admin/admin-ajax.php	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-admin/admin-ajax.php	(from https://www.topallenatori.it/)
09:17:14	4685/4685	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2008:30:54%20GMT	https://www.topallenatori.it/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css?ver=2.13	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery2aca.css	(from https://www.topallenatori.it/)
09:17:14	1746/1746	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2008:30:49%20GMT	https://www.topallenatori.it/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://www.topallenatori.it/)
09:17:14	529/529	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jul%202018%2019:10:32%20GMT	https://www.topallenatori.it/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin.css?ver=1.0	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin5152.css	(from https://www.topallenatori.it/)
09:17:15	7602/7602	---M-Z	200	added ('OK')	application/rss+xml	etag:%222b7e3aac9e43ccdc88f39b937a12cc97-gzip%22	https://www.topallenatori.it/comments/feed/	C:/ST_AREA/Site/site_/www.topallenatori.it/comments/feed/index.html	(from https://www.topallenatori.it/)
09:17:15	752/752	---M-Z	200	added ('OK')	text/xml	date:Fri,%2028%20Mar%202025%2008:17:14%20GMT	https://www.topallenatori.it/home/feed/	C:/ST_AREA/Site/site_/www.topallenatori.it/home/feed/index.html	(from https://www.topallenatori.it/)
09:17:15	101030/101030	---M-Z	200	added ('OK')	text/xml	date:Fri,%2028%20Mar%202025%2008:17:14%20GMT	https://www.topallenatori.it/feed/	C:/ST_AREA/Site/site_/www.topallenatori.it/feed/index.html	(from https://www.topallenatori.it/)
09:17:15	33494/33494	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:16:33%20GMT	https://www.topallenatori.it/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.0.4.1	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/revslider/public/assets/css/settings5bca.css	(from https://www.topallenatori.it/)
09:17:15	4656/4656	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2008:30:50%20GMT	https://www.topallenatori.it/wp-content/plugins/uk-cookie-consent/assets/css/style.css?ver=4.9.26	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/uk-cookie-consent/assets/css/style092c.css	(from https://www.topallenatori.it/)
09:17:15	3424/3424	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Apr%202020%2008:30:57%20GMT	https://www.topallenatori.it/wp-content/plugins/wordpress-simple-paypal-shopping-cart/wp_shopping_cart_style.css?ver=4.4.9	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/wordpress-simple-paypal-shopping-cart/wp_shopping_cart_stylecb95.css	(from https://www.topallenatori.it/)
09:17:15	596/596	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:34%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/style.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/stylebf99.css	(from https://www.topallenatori.it/)
09:17:15	7491/7491	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:56%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/base.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/basebf99.css	(from https://www.topallenatori.it/)
09:17:16	3754/3754	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:56%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/buttons.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/buttonsbf99.css	(from https://www.topallenatori.it/)
09:17:16	24454/24454	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:59%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/fonts/mfn-icons.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/fonts/mfn-iconsbf99.css	(from https://www.topallenatori.it/)
09:17:16	4380/4380	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:57%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/grid.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/gridbf99.css	(from https://www.topallenatori.it/)
09:17:16	102694/102694	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:57%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/layout.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/layoutbf99.css	(from https://www.topallenatori.it/)
09:17:17	100109/100109	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:58%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/shortcodes.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/shortcodesbf99.css	(from https://www.topallenatori.it/)
09:17:17	8785/8785	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:59%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/variables.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/variablesbf99.css	(from https://www.topallenatori.it/)
09:17:17	12894/12894	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:58%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/style-simple.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/style-simplebf99.css	(from https://www.topallenatori.it/)
09:17:17	58684/58684	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:07:30%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/js/animations/animations.min.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/js/animations/animations.minbf99.css	(from https://www.topallenatori.it/)
09:17:18	3020/3020	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:08:14%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/js/colorpicker/css/colorpicker.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/js/colorpicker/css/colorpickerbf99.css	(from https://www.topallenatori.it/)
09:17:18	19631/19631	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:07:12%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/ui/jquery.ui.all.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/ui/jquery.ui.allbf99.css	(from https://www.topallenatori.it/)
09:17:18	10090/10090	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:07:10%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/jplayer/jplayer.blue.monday.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/jplayer/jplayer.blue.mondaybf99.css	(from https://www.topallenatori.it/)
09:17:18	19888/19888	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:57%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/prettyPhoto.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/prettyPhotobf99.css	(from https://www.topallenatori.it/)
09:17:19	24146/24146	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:57%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/responsive-1240.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/responsive-1240bf99.css	(from https://www.topallenatori.it/)
09:17:19	31842/31842	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:58%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/responsive.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/responsivebf99.css	(from https://www.topallenatori.it/)
09:17:20	18142/18142	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2008:17:19%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/style-one.php?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/style-onebf99.css	(from https://www.topallenatori.it/)
09:17:20	7581/7581	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2008:17:20%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/style.php?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/stylebf99-2.css	(from https://www.topallenatori.it/)
09:17:20	70/70	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Aug%202015%2013:05:56%20GMT	https://www.topallenatori.it/wp-content/themes/topallenatori/css/custom.css?ver=9.3	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/themes/topallenatori/css/custombf99.css	(from https://www.topallenatori.it/)
09:17:20	96874/96874	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2013:19:55%20GMT	https://www.topallenatori.it/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.topallenatori.it/)
09:17:21	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Jun%202016%2019:30:17%20GMT	https://www.topallenatori.it/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.topallenatori.it/)
09:17:21	101869/101869	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2013:16:33%20GMT	https://www.topallenatori.it/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.0.4.1	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min5bca.js	(from https://www.topallenatori.it/)
09:17:21	43467/43467	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2013:16:33%20GMT	https://www.topallenatori.it/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.0.4.1	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min5bca.js	(from https://www.topallenatori.it/)
09:17:21	190/190	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Aug%202015%2011:01:26%20GMT	https://www.topallenatori.it/wp-content/plugins/right-click-disable-orignal/rightclickdisable.js?ver=4.9.26	C:/ST_AREA/Site/site_/www.topallenatori.it/wp-content/plugins/right-click-disable-orignal/rightclickdisable092c.js	(from https://www.topallenatori.it/)
